,Program,Program_Code,Degrees,Mode_of_study,Link,School,College,Tution fees,ID
345,Management,PRPHDMGMNT1F,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMGMNT1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",486
346,Management,PTMSCMGMNT1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMGMNT1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£23,600', 'Rest of UK': '£23,600', 'International/EU': '£29,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",277
347,"Management of Bioeconomy, Innovation and Governance",PTMSCMOBIG1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMOBIG1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",769
348,Management Science and Analytics ,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMGTSA1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1084
349,Marine Systems and Policies,PTMSCMARSP1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMARSP1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£18,000', 'Rest of UK': '£18,000', 'International/EU': '£34,600', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",872
350,Marketing,PTMSCMARKE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMARKE1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£19,100', 'Rest of UK': '£19,100', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",638
351,Marketing and Business Analysis,No Program Code,MSc,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=639,Business School,"Arts, Humanities & Social Sciences",Not applicable,639
352,Materials and Processes,No Program Code,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCENGEL5F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",28
353,Materials Chemistry,PTMSCMACHE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMACHE1F,Chemistry,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£35,900', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",448
354,Mathematical Economics and Econometrics ,PTMSCMAEEC1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMAEEC1F,Economics,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1003
355,"Mathematical Modelling, Analysis and Computation",No Program Code,PhD,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=980,Mathematics,Science & Engineering,Not applicable,980
356,Mathematical Physics,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMATST5F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",513
357,Mathematical Physics,PTMSCMATPH1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMATPH1F,Physics & Astronomy,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",817
358,Mathematics Education,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMATED1F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",953
359,Medical Anthropology,PTMSCMEDAN1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMEDAN1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",299
360,Medical Informatics,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMEDIN1F,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",924
361,Medical Law and Ethics,PTLLMMELDL2F,LLM,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMMELDL2F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",867
362,Medical Law and Ethics (Online Learning),PTLLMMELDL1F,LLM,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTLLMMELDL1F,Law,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£24,700', 'Additional Programme Costs': ''}",505
363,Medical Sciences,No Program Code,MMedSci by Research,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMMEMEDSC1F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': '£4,000'}",245
364,Medicinal and Biological Chemistry,PTMSCMEDCH1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMEDCH1F,Chemistry,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£35,900', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",450
365,Medieval History,PTMSCMEDHI1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMEDHI1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",149
366,Medieval Studies,PRMSRMEDST1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSRMEDST1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",633
367,Medieval Studies,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMEDST1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1024
368,Mediterranean Archaeology,PTMSCMEDAR1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMEDAR1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",44
369,Mental Health in Children and Young People: Psychological Approaches,PTMSCMHCYP1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMHCYP1F,Health in Social Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",654
370,Mental Health in Children and Young People: Psychological Approaches (Online Learning),PTMSCMHCYP1U,MSc,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMHCYP1U,Health in Social Science,"Arts, Humanities & Social Sciences",Not applicable,841
371,"Mind, Language and Embodied Cognition",PTMSCMLAEC1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCMLAEC1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",655
372,"Modern and Contemporary Art: History, Curating and Criticism",PTMSCIMCAH1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCIMCAH1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",424
373,Molecular Plant Sciences,No Program Code,Under review,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=10,Biological Sciences,Science & Engineering,Not applicable,10
374,Music,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMUSIC1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",56
375,Music,PRMSCMUSIC1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCMUSIC1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1030
376,Musical Composition,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMUSCO1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",918
377,Musicology,PTMUSMUSCO1F,MMus,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMUSMUSCO1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",47
378,"Narrative Futures: Art, Data, Society",PTMSCNFADS2U,"MSc, PgDip (ICL), PgCert",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCNFADS2U,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1065
379,"Narrative Futures: Art, Data, Society (Online Learning)",PTMSCNFADS1U,"MSc, PgDip (ICL), PgCert",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCNFADS1U,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1066
380,Nationalism in Global Perspective ,PTMSCNATGP1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCNATGP1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1077
381,Neuroimaging for Research (Online Learning),PTMSCNEURE1U,"MSc, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCNEURE1U,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,Not applicable,234
382,Neurological Rehabilitation and Care (Online Learning),PTPGCNRHBC1U,PgCert (ICL),Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTPGCNRHBC1U,Health in Social Science,"Arts, Humanities & Social Sciences",Not applicable,1074
383,Neuroscience (Biomedical Sciences - Centre for Discovery Brain Sciences),No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDNEURS2F,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",200
384,Neuroscience (Integrative Neuroscience),PRMSCINEUS1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCINEUS1F,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': '£3,000'}",196
385,New Testament and Christian Origins,No Program Code,"PhD, MPhil",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDNETCO1F,Divinity,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",65
386,Nuclear Physics,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDPHYSI1F,Physics & Astronomy,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",192
387,Nursing Studies,PRPHDDISNS1F,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDDISNS1F,Health in Social Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",138
388,Nursing with Pre-Registration (Adult) ,PTMNNURPRA1F,MN(T),Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMNNURPRA1F,Health in Social Science,"Arts, Humanities & Social Sciences",Not applicable,1008
389,Offshore Renewable Energy (Industrial Doctorate Centre),PRENGOFFRE1F,EngD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRENGOFFRE1F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",785
390,One Health (Online Learning),PTMSCONEHE1U,"MSc, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCONEHE1U,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,Not applicable,814
